TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
ABCG1|9619	0.422083322653708	0.451575570585603	0.664847363445117	0.447186474952854	0.753411181931764	0.722966264568883	0.600003024580089	0.217978610156473	0.26173096848376	0.284863185640435
ABCG2|9429	0.565871626637663	-0.341392387400085	0.709048701567462	0.834970728321542	0.0836543296231114	-0.285040203229158	-0.410724506849702	-0.36687481319665	-0.563441242333733	-0.62332609623199
ABCG4|64137	-0.619062960474587	-1.11290915899689	-1.1245545645782	-0.995088288172457	-1.39686315332358	-1.05321335666796	-0.78933176169539	-0.502978296848286	-0.173931428098927	-1.36072347084481
ABCG5|64240	-1.80417943242485	-1.90097540592124	-1.65352712811634	-1.60377968274515	-2.18139653722748	-1.28663740870323	-1.64953424206325	-1.50068665381921	-1.25277999328553	-1.288388207519
ABCG8|64241	-2.35400899464822	-2.33419737636881	-1.927425353674	-1.99477729011869	-2.18139653722748	-1.35970917413996	-2.0452742683633	-1.94643241174402	-1.9503622899215	-1.72321470564258
ABHD10|55347	0.664774684036992	0.293356506959294	0.739701921959167	0.632903599168054	0.639661890452771	0.833162636443872	0.427361590503657	0.610436166495778	0.673935253310849	0.427972348599216
ABHD11|83451	0.0573043859233513	0.253779094463043	0.0970617120524977	-0.0179751692162433	0.410137084643473	1.06660993495192	1.3662377231733	1.1508139039829	1.35719194168983	1.23976860413512
ABHD12|26090	1.04381504985081	1.27012697238125	1.01471468289214	0.990864597370282	1.18343306032837	0.94581043300743	0.862963187869753	0.853524204053954	1.27915014636819	1.04156514436689
ABHD12B|145447	-1.48259406542861	-0.938858568773124	-1.927425353674	-1.64899915225306	-0.855777576741362	-2.11322018465913	-2.05565866332094	-1.85298163880283	-1.23428329329734	-2.04271652357975
ABHD13|84945	0.27042074888993	0.386885058399303	0.476114531665487	0.338201886519342	0.40854031597644	0.318307398561306	0.204535732847738	0.465689348516608	0.277460471239329	-0.05055019196698
ABHD14A|25864	0.329075974279338	-0.0261509554935637	0.284082975297962	0.259879576160052	0.156732457958675	0.366522279282633	0.365630750437771	0.242424211374871	0.330324194060143	0.0102100581901771
ABHD14B|84836	0.402495513700016	0.670011725260532	0.269122541929366	0.150758823446423	0.62844480920411	1.29406150093841	1.27279356231	0.947298678361576	0.787497799949757	0.539203938211301
ABHD15|116236	0.140907577747143	0.204998108257511	-0.0409763072491838	-0.0785744639753772	0.222288916001916	0.0787957294485505	0.160098422825574	0.0668457906492622	-0.0351753805045178	-0.0372993431175166
ABHD1|84696	-1.25059905921715	-1.30034269528445	-1.1245545645782	-1.60377968274515	-0.614707286611786	-0.688719436046431	-1.31027210474089	-1.39466814017206	-0.914918217570372	-1.53428966244123
ABHD2|11057	1.78054623369558	1.28119252788477	1.212078961086	1.20754989463051	1.14255912706074	0.712981144880689	0.873526536947991	0.677803466106355	0.679339767675273	0.706125592017909
ABHD3|171586	0.158150649009418	0.222110780212797	0.111046782374295	0.454336298655963	0.503583484957991	0.550158789454929	0.341225922305265	0.227169260292713	-0.145563061519779	0.2273771962727
ABHD4|63874	1.12554146371441	0.739699328919368	0.70570853226334	1.22771000387899	0.773103552887261	0.663554965985469	0.761337114123382	0.860843548693844	0.497309490004349	0.506753715110425
ABHD5|51099	0.739549626239202	0.722297152536075	0.472888875091126	0.591421131135227	0.481763943617253	0.247785370384656	0.333534570564209	0.67056889453419	0.311301616891483	0.303984676330262
ABHD6|57406	0.595201991121404	0.318085913445366	0.440950132308362	0.246166643341791	0.515737583231667	-0.139832739985535	-0.241741682196941	-0.388316021831246	-0.0052800953562697	-0.6677301364314
ABHD8|79575	0.392089435475762	0.389384975366168	0.0276593210222285	0.746647029961511	0.470413336305732	0.517628198927876	0.237997079549261	0.688571335737917	0.624668125321024	0.731471990061181
ABI1|10006	1.08357636384442	0.821858883726951	1.01696623486636	0.704593709757712	0.987956138296443	0.798816536433177	1.066771191815	0.767771029250882	0.699646402446538	0.88195429261624
ABI2|10152	1.3445623071792	0.811234736161899	1.19574436801146	1.2771097945222	1.04368121093217	0.735978343489642	0.913456722180615	0.909696658484282	0.795858119036484	0.869972348782606
ABI3|51225	0.494538570857549	0.260516520944161	0.446502064683059	0.182625183508282	0.806419299032631	0.349271030803756	0.575838361297365	-0.0518330708908213	-0.743013787246356	0.262990606790101
ABI3BP|25890	-0.0355294752490556	0.464789642332605	0.126059444382914	-0.669355688838695	0.105079078596747	-0.641748010610014	-0.0884040782556041	-0.871201256154152	-1.0030934507447	-1.18534058338577
ABL1|25	1.1325778824293	1.02154015491858	1.50930456814737	1.03938852512585	0.859158128768334	0.782298682690022	0.860363352462031	1.29583633351174	0.786802684312351	1.15218286151425
