TCGA.02.0047.01A.01R.1849.01	TCGA.02.0055.01A.01R.1849.01	TCGA.02.2483.01A.01R.1849.01	TCGA.02.2485.01A.01R.1849.01	TCGA.02.2486.01A.01R.1849.01	TCGA.04.1348.01A.01R.1565.13	TCGA.04.1357.01A.01R.1565.13	TCGA.04.1362.01A.01R.1565.13	TCGA.04.1364.01A.01R.1565.13	TCGA.04.1365.01A.01R.1565.13
ABCF3|55324	979.747000000001	937.351	934.670000000001	967.618999999999	1132.93	2497.62155898776	1492.0155654793	2789.77828410884	2209.02328736324	2265.43921074191
ABCG1|9619	524.909	567.905	865.435	543.333	1090.24	1015.30613841918	745.287562824569	303.506803126958	321.355838418697	339.629352708347
ABCG2|9429	726.513	92.5018	961.266	1330	220.122	84.2997476332469	64.2676825148755	74.9057054271504	41.5946550320628	36.6121506849872
ABCG4|64137	49.1718	15.1367	11.3984	18.5714	5.4878	11.909223518537	25.2002405915613	53.9380080909037	109.729735333089	5.28545513340992
ABCG5|64240	2.4586	1.6819	2.533	3.8095	0	6.27299051984809	2.29377147814402	4.13638774622067	6.85354295178946	6.49127927538131
ABCG8|64241	0	0	0.8443	0.9524	0	5.07724499355209	0.268711691028606	0.781704943622302	0.419041336203048	1.60844551642612
ABHD10|55347	908.448	395.795	1033.88	834.286	831.098000000001	1331.48535393346	491.214805698768	772.478096919087	884.970047076009	481.031460048153
ABHD11|83451	229.878	361.598	224.169	185.238	480.488	2364.2353407685	4731.99402270068	2790.83926072919	4733.01747669689	3454.09903059414
ABHD12|26090	2138.36	3668.11	1986.7	1905.71	3040.24	1756.588928499	1405.75777903456	1376.8837032451	3908.30067815937	2135.06584999632
ABHD12B|145447	6.1465	22.9853	0.8443	3.3333	22.561	-0.0465204315798561	0.237344761410401	1.22452684478854	7.21804405209812	0.201502044448332
ABHD13|84945	372.476	489.979	552.612	422.381	478.659	374.871335306705	286.64791341109	547.44139276938	334.035433104405	149.958959311971
ABHD14A|25864	425.336	190.683	349.974	352.429	262.195	422.165274848311	423.154356309468	321.711596313616	380.418387595525	173.936979900058
ABHD14B|84836	502.167	934.548	337.731	273.81	809.146	4136.00125394228	3777.34936056624	1720.66382048814	1169.54153060272	630.363512247077
ABHD15|116236	277.82	323.476	161.267	160.952	306.707	207.618777435542	257.426119916947	211.662805584942	154.621063957586	154.891069865905
ABHD1|84696	11.0636	9.5305	11.3984	3.8095	40.8537	30.6233730920562	6.4626480916112	5.60730395564434	16.9870048313235	3.12525707447633
ABHD2|11057	11280.6	3761.74	3174.25	3141.43	2757.93	990.665346679138	1442.04177580687	906.700802870858	896.792501953511	945.594290491347
ABHD3|171586	288.884	336.37	231.768	552.381	600.61	663.580269394611	398.919563151419	310.227441546696	117.708682912806	295.284824565254
ABHD4|63874	2571.68	1095.44	953.668	3290.95	1142.68	877.21575762366	1100.08085270309	1401.04853094731	573.481144452158	582.561810842647
